Categoria: Tutte le categorie

Settimana,Amazon: (Tutto il mondo)
2017-12-10,81
2017-12-17,74
2017-12-24,69
2017-12-31,62
2018-01-07,65
2018-01-14,59
2018-01-21,60
2018-01-28,60
2018-02-04,56
2018-02-11,56
2018-02-18,51
2018-02-25,56
2018-03-04,57
2018-03-11,54
2018-03-18,59
2018-03-25,53
2018-04-01,55
2018-04-08,55
2018-04-15,49
2018-04-22,54
2018-04-29,53
2018-05-06,53
2018-05-13,53
2018-05-20,52
2018-05-27,55
2018-06-03,53
2018-06-10,53
2018-06-17,52
2018-06-24,52
2018-07-01,53
2018-07-08,54
2018-07-15,72
2018-07-22,56
2018-07-29,56
2018-08-05,54
2018-08-12,55
2018-08-19,57
2018-08-26,57
2018-09-02,58
2018-09-09,54
2018-09-16,53
2018-09-23,55
2018-09-30,53
2018-10-07,63
2018-10-14,57
2018-10-21,59
2018-10-28,58
2018-11-04,62
2018-11-11,67
2018-11-18,87
2018-11-25,79
2018-12-02,73
2018-12-09,75
2018-12-16,75
2018-12-23,65
2018-12-30,61
2019-01-06,61
2019-01-13,57
2019-01-20,57
2019-01-27,54
2019-02-03,55
2019-02-10,53
2019-02-17,58
2019-02-24,54
2019-03-03,55
2019-03-10,54
2019-03-17,51
2019-03-24,54
2019-03-31,55
2019-04-07,53
2019-04-14,52
2019-04-21,55
2019-04-28,55
2019-05-05,55
2019-05-12,56
2019-05-19,55
2019-05-26,54
2019-06-02,57
2019-06-09,58
2019-06-16,58
2019-06-23,60
2019-06-30,57
2019-07-07,61
2019-07-14,75
2019-07-21,57
2019-07-28,58
2019-08-04,58
2019-08-11,61
2019-08-18,70
2019-08-25,61
2019-09-01,64
2019-09-08,60
2019-09-15,60
2019-09-22,62
2019-09-29,67
2019-10-06,62
2019-10-13,64
2019-10-20,69
2019-10-27,67
2019-11-03,65
2019-11-10,71
2019-11-17,76
2019-11-24,95
2019-12-01,93
2019-12-08,89
2019-12-15,84
2019-12-22,69
2019-12-29,70
2020-01-05,67
2020-01-12,64
2020-01-19,62
2020-01-26,63
2020-02-02,62
2020-02-09,61
2020-02-16,63
2020-02-23,62
2020-03-01,65
2020-03-08,66
2020-03-15,79
2020-03-22,78
2020-03-29,86
2020-04-05,85
2020-04-12,84
2020-04-19,83
2020-04-26,87
2020-05-03,89
2020-05-10,81
2020-05-17,83
2020-05-24,77
2020-05-31,80
2020-06-07,75
2020-06-14,76
2020-06-21,76
2020-06-28,77
2020-07-05,75
2020-07-12,78
2020-07-19,75
2020-07-26,73
2020-08-02,72
2020-08-09,72
2020-08-16,72
2020-08-23,69
2020-08-30,73
2020-09-06,73
2020-09-13,69
2020-09-20,66
2020-09-27,70
2020-10-04,71
2020-10-11,87
2020-10-18,75
2020-10-25,74
2020-11-01,72
2020-11-08,84
2020-11-15,91
2020-11-22,100
2020-11-29,94
2020-12-06,90
2020-12-13,87
2020-12-20,79
2020-12-27,81
2021-01-03,74
2021-01-10,70
2021-01-17,74
2021-01-24,71
2021-01-31,70
2021-02-07,69
2021-02-14,66
2021-02-21,64
2021-02-28,65
2021-03-07,66
2021-03-14,65
2021-03-21,67
2021-03-28,65
2021-04-04,67
2021-04-11,67
2021-04-18,61
2021-04-25,65
2021-05-02,64
2021-05-09,61
2021-05-16,63
2021-05-23,62
2021-05-30,65
2021-06-06,64
2021-06-13,60
2021-06-20,69
2021-06-27,61
2021-07-04,59
2021-07-11,61
2021-07-18,63
2021-07-25,60
2021-08-01,58
2021-08-08,58
2021-08-15,62
2021-08-22,62
2021-08-29,62
2021-09-05,61
2021-09-12,63
2021-09-19,61
2021-09-26,60
2021-10-03,66
2021-10-10,64
2021-10-17,63
2021-10-24,62
2021-10-31,64
2021-11-07,67
2021-11-14,69
2021-11-21,80
2021-11-28,75
2021-12-05,77
2021-12-12,74
2021-12-19,69
2021-12-26,70
2022-01-02,69
2022-01-09,66
2022-01-16,66
2022-01-23,65
2022-01-30,63
2022-02-06,63
2022-02-13,60
2022-02-20,58
2022-02-27,56
2022-03-06,60
2022-03-13,56
2022-03-20,60
2022-03-27,59
2022-04-03,59
2022-04-10,56
2022-04-17,58
2022-04-24,61
2022-05-01,62
2022-05-08,56
2022-05-15,58
2022-05-22,55
2022-05-29,58
2022-06-05,62
2022-06-12,63
2022-06-19,61
2022-06-26,59
2022-07-03,65
2022-07-10,77
2022-07-17,65
2022-07-24,62
2022-07-31,62
2022-08-07,64
2022-08-14,62
2022-08-21,62
2022-08-28,65
2022-09-04,65
2022-09-11,61
2022-09-18,66
2022-09-25,63
2022-10-02,63
2022-10-09,68
2022-10-16,64
2022-10-23,61
2022-10-30,63
2022-11-06,65
2022-11-13,69
2022-11-20,77
2022-11-27,78
